candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
monthly,2,2,1,1,6,12,19,9.246516035279857,8.36586713609098,884,883,1,False,14,9.249705132147007,8,0.32167115973634847,True
monthly,2,2,2,1,7,12,20,11.376617265158494,10.402139306921832,884,883,1,False,14,9.279843935605962,7,0.23318396642340636,True
monthly,2,2,1,2,7,12,20,11.41943740125189,10.444959443015229,884,883,1,False,14,9.133888875014042,7,0.24318582433424243,True
monthly,2,1,1,1,5,12,18,11.425793234824823,10.634126568158159,884,883,1,False,14,10.718541009723696,9,0.29549595026854536,True
monthly,4,1,1,1,7,12,20,11.608965555620962,10.6344875973843,884,883,1,False,14,6.576437704342537,7,0.4742701291358996,True
monthly,3,2,1,0,6,12,19,14.670235289221424,13.789586390032547,884,883,1,False,14,5.283037965732884,8,0.7269405094043824,True
monthly,3,2,2,0,7,12,20,14.807158664146119,13.832680705909457,884,883,1,False,14,3.8067335497388775,7,0.8017494691885594,True
monthly,3,1,1,1,6,12,19,14.927744001032206,14.047095101843329,884,883,1,False,14,7.908465884272591,8,0.4424622391406219,True
monthly,3,2,0,1,6,12,19,14.98226325525632,14.101614356067444,884,883,1,False,14,5.68368024545415,8,0.6826157951782823,True
monthly,3,2,0,2,7,12,20,15.388464952356465,14.413986994119803,884,883,1,False,14,3.93718873244346,7,0.7869829844151426,True
monthly,3,2,0,0,5,12,18,15.686027978430467,14.894361311763802,884,883,1,False,14,10.017973497949205,9,0.34903211452830185,True
monthly,2,3,1,1,7,12,20,17.58925447116741,16.61477651293075,884,883,1,False,14,9.298683124395467,7,0.23191720034729915,True
monthly,2,2,1,0,5,12,18,19.753063992954356,18.961397326287692,884,883,1,False,14,10.8011817169579,9,0.2895835478631356,True
monthly,2,2,0,1,5,12,18,20.08328520502894,19.291618538362275,884,883,1,False,14,11.107969152080395,9,0.26838077166251595,True
monthly,2,2,2,0,6,12,19,20.297585312484447,19.41693641329557,884,883,1,False,14,9.91787706996512,8,0.2708372710596087,True
monthly,2,2,0,2,6,12,19,20.565779147597237,19.68513024840836,884,883,1,False,14,9.656939119196027,8,0.2899343951485857,True
monthly,0,1,0,1,2,12,15,20.833699785692428,20.280066567699347,884,883,1,True,14,20.1919506141447,12,0.06354091627334645,True
monthly,2,2,0,0,4,12,17,21.123647125753656,20.416132674886605,884,883,1,False,14,14.768601343859721,10,0.1407287375574182,True
fourier_K1,1,0,0,0,1,2,4,199.4093916633619,199.36383357680154,884,883,1,True,14,118.19711831796944,13,4.569835061690421e-19,False
fourier_K1,1,0,1,0,2,2,5,200.80210966989614,200.73369461858485,884,883,1,True,14,117.78351087934112,12,1.708206849857469e-19,False
fourier_K2,1,0,0,0,1,4,6,203.38595519844318,203.29006478748428,884,883,1,True,14,118.27546290640028,13,4.41004032688983e-19,False
fourier_K2,1,0,1,0,2,4,7,204.7894190589039,204.6614190589039,884,883,1,True,14,117.85865704480712,12,1.650376113433147e-19,False
fourier_K3,1,0,1,0,2,6,9,208.32832135364816,208.12213578663784,884,883,1,True,14,118.48885380297752,12,1.2362648748260642e-19,False
fourier_K4,1,0,1,0,2,8,11,212.17364467730442,211.870544792115,884,883,1,True,14,118.78219804330807,12,1.0806543980245382e-19,False
monthly,1,0,1,0,2,12,15,213.43228253190284,212.87864931390976,884,883,1,True,14,110.54487971006151,12,4.668762117230766e-18,False
fourier_K5,1,0,1,0,2,10,13,216.21263952608768,215.79376725911416,884,883,1,True,14,118.89785490717264,12,1.024821432071062e-19,False
fourier_K6,1,0,1,0,2,12,15,220.04828672471265,219.49465350671957,884,883,1,True,14,119.27592224565242,12,8.616365462512283e-20,False
fourier_K1,0,0,0,0,0,2,3,366.2682305843201,366.2409268300539,884,883,1,True,14,169.52858398198845,14,8.526201769772527e-29,False
fourier_K2,0,0,0,0,0,4,5,370.2565275167174,370.18811246540616,884,883,1,True,14,169.56347103035398,14,8.388987229330407e-29,False
fourier_K3,0,0,0,0,0,6,7,374.03908834766315,373.91108834766317,884,883,1,True,14,169.85137285969117,14,7.337674337444832e-29,False
monthly,0,0,0,0,0,12,13,375.35848230429434,374.9396100373208,884,883,1,True,14,162.17902282417177,14,2.586214120252949e-27,False
fourier_K4,0,0,0,0,0,8,9,377.9802657994334,377.7740802324231,884,883,1,True,14,169.98734981647502,14,6.887965179961387e-29,False
fourier_K4,0,0,1,1,2,8,11,381.95495937796954,381.6518594927801,884,883,1,True,14,168.4408943217753,12,9.94659198118314e-30,False
fourier_K5,0,0,0,0,0,10,11,382.0563152273719,381.75321534218244,884,883,1,True,14,170.0292740222182,14,6.754945990283711e-29,False
fourier_K6,0,0,0,0,0,12,13,386.0334881028994,385.61461583592586,884,883,1,True,14,170.19843659806236,14,6.243785425709582e-29,False
fourier_K6,0,0,1,1,2,12,15,390.14952225021165,389.59588903221857,884,883,1,True,14,169.70628066583564,12,5.482163021531846e-30,False
