candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
fourier_K2,1,2,0,0,3,4,8,-6.310100841957407,-6.474860567357865,884,883,1,True,14,13.336142220330759,11,0.27192417207648195,True
fourier_K3,0,1,0,0,1,6,8,-6.05887153038444,-6.223631255784898,884,883,1,True,14,21.21724696723822,13,0.06874138619454284,True
fourier_K3,0,1,1,0,2,6,9,-5.111681690291309,-5.317867257301618,884,883,1,True,14,18.50762305139987,12,0.10112414851894239,True
fourier_K3,0,1,0,1,2,6,9,-5.042637118386374,-5.248822685396682,884,883,1,True,14,18.696787292853944,12,0.0961133411926331,True
fourier_K4,0,1,0,0,1,8,10,-4.72224945395665,-4.9745430319383,884,883,1,True,14,21.318966983388652,13,0.06685470519843043,True
fourier_K6,0,1,0,0,1,12,14,-4.02478347536578,-4.508654443107716,884,883,1,True,14,21.74741696197544,13,0.05940107220197768,True
fourier_K2,0,1,0,0,1,4,6,-3.744653366353994,-3.8405437773128988,884,883,1,True,14,21.23050604529947,13,0.06849282763430502,True
fourier_K4,0,1,1,0,2,8,11,-3.7064292630132094,-4.009529148202645,884,883,1,True,14,18.72694296920128,12,0.0953346522338709,True
fourier_K4,0,1,0,1,2,8,11,-3.6441950673850165,-3.9472949525744525,884,883,1,True,14,18.898342828764097,12,0.0910114410312054,True
fourier_K2,0,1,1,0,2,4,7,-2.9718801606027974,-3.0998801606027975,884,883,1,True,14,18.236353130352168,12,0.10870022009833748,True
fourier_K5,0,1,0,0,1,10,12,-2.9435250765351775,-3.3021457661903497,884,883,1,True,14,21.48484928117301,13,0.06387596611356987,True
fourier_K2,0,1,0,1,2,4,7,-2.8813198673721914,-3.0093198673721915,884,883,1,True,14,18.468256124100385,12,0.10219470321300192,True
fourier_K6,0,1,1,0,2,12,15,-2.8251044953395947,-3.3787377133326757,884,883,1,True,14,19.40446670600378,12,0.07922384049459748,True
fourier_K6,0,1,0,1,2,12,15,-2.7778390430847892,-3.33147226107787,884,883,1,True,14,19.550679134183294,12,0.0760774411454083,True
fourier_K5,0,1,1,0,2,10,13,-1.8525181754831692,-2.2713904424567026,884,883,1,True,14,18.987056565757964,12,0.08884128979413772,True
fourier_K5,0,1,0,1,2,10,13,-1.797569480361151,-2.2164417473346845,884,883,1,True,14,19.147424780569096,12,0.08503223236057192,True
monthly,3,1,0,0,4,12,17,13.099652171563335,12.392137720696283,884,883,1,True,14,9.494681946906667,10,0.4858856233372014,True
monthly,3,2,0,0,5,12,18,14.162550557661774,13.37088389099511,884,883,1,True,14,8.272740127645989,9,0.5069115346724575,True
monthly,3,1,1,0,5,12,18,14.359987999385982,13.568321332719318,884,883,1,True,14,8.358887162001393,9,0.4984223540987014,True
monthly,3,1,0,1,5,12,18,14.444829977102405,13.65316331043574,884,883,1,True,14,8.477506009787188,9,0.48683078419488046,True
monthly,4,1,0,0,5,12,18,15.119535526269509,14.327868859602845,884,883,1,True,14,9.395979331298554,9,0.40155319744367574,True
monthly,4,2,0,0,6,12,19,15.846583170381972,14.965934271193095,884,883,1,True,14,7.913680990545581,8,0.441947211672999,True
