candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
fourier_K5,0,2,1,0,3,10,14,6016.212447362701,6015.728576394959,884,883,1,False,14,5.865221323792042,11,0.8822039153377388,True
fourier_K4,0,2,0,0,2,8,11,6016.354571369083,6016.051471483894,884,883,1,True,14,8.502053411302372,12,0.7447698146712685,True
fourier_K6,0,2,1,1,4,12,17,6016.357641201353,6015.6501267504855,884,883,1,False,14,6.2052910448087655,10,0.7977306879420404,True
fourier_K4,1,1,0,0,2,8,11,6016.378191633546,6016.0750917483565,884,883,1,True,14,8.68106892518919,12,0.7299029052698252,True
fourier_K2,1,2,2,1,6,4,11,6016.4154152035435,6016.112315318354,884,883,1,True,14,5.284899734327925,8,0.7267367414199009,True
fourier_K6,2,2,0,1,5,12,18,6016.424610870854,6015.632944204187,884,883,1,False,14,5.853242177446372,9,0.7545118786045215,True
fourier_K4,1,1,0,2,4,8,13,6016.438887659524,6016.020015392551,884,883,1,False,14,5.687133647751246,10,0.8408283821074354,True
fourier_K4,2,1,0,1,4,8,13,6016.4419092797,6016.0230370127265,884,883,1,False,14,5.715586788019721,10,0.8385655774673912,True
fourier_K4,1,2,0,1,4,8,13,6016.442649807621,6016.023777540648,884,883,1,False,14,5.731956076534983,10,0.8372579135522331,True
fourier_K4,1,1,1,1,4,8,13,6016.449927696806,6016.031055429833,884,883,1,False,14,5.699420604476158,10,0.8398528248593352,True
fourier_K4,1,2,1,0,4,8,13,6016.455774658549,6016.0369023915755,884,883,1,False,14,5.705837796537072,10,0.8393423503112947,True
fourier_K4,0,3,0,1,4,8,13,6016.496803735914,6016.077931468941,884,883,1,False,14,5.55077491866012,10,0.8514888380136216,True
fourier_K6,2,2,1,0,5,12,18,6016.533654482443,6015.741987815776,884,883,1,False,14,5.873393307562041,9,0.7525197460658588,True
fourier_K3,2,2,0,2,6,6,13,6016.795871685424,6016.37699941845,884,883,1,False,14,5.052499075782758,8,0.7519505067035384,True
fourier_K4,0,2,1,1,4,8,13,6016.849217185769,6016.4303449187955,884,883,1,False,14,5.6290472188356295,10,0.8454071566041326,True
fourier_K4,0,2,0,2,4,8,13,6016.850511127798,6016.431638860825,884,883,1,False,14,5.641848581353823,10,0.8444028032676242,True
fourier_K6,1,2,2,1,6,12,19,6016.854767430727,6015.974118531539,884,883,1,False,14,13.74926063006033,8,0.0885395184389093,True
fourier_K3,2,2,1,1,6,6,13,6016.862870910645,6016.443998643672,884,883,1,False,14,5.099517833620812,8,0.7468885156717229,True
fourier_K5,2,3,1,0,6,10,17,6016.9834964316215,6016.275981980754,884,883,1,False,14,14.589870142610973,8,0.06762821887581438,True
fourier_K5,1,2,2,1,6,10,17,6017.157479670124,6016.449965219257,884,883,1,False,14,14.266513621818119,8,0.07507790839509908,True
fourier_K6,2,1,1,1,5,12,18,6017.310138968921,6016.518472302254,884,883,1,False,14,6.790967976124547,9,0.6588722865777854,True
fourier_K6,1,2,0,0,3,12,16,6017.341207873059,6016.713032353428,884,883,1,False,14,8.759078359584091,11,0.6441194753505963,True
fourier_K3,2,2,0,0,4,6,11,6017.472932390999,6017.16983250581,884,883,1,False,14,8.35556083165805,10,0.5941492393778223,True
fourier_K4,2,2,0,1,5,8,14,6017.5702671403,6017.086396172558,884,883,1,False,14,5.149024391543229,9,0.8211286762970565,True
fourier_K5,1,2,0,1,4,10,15,6017.586756393341,6017.033123175348,884,883,1,False,14,6.452050516075691,10,0.7759626940334241,True
fourier_K2,2,2,1,2,7,4,12,6017.598279721969,6017.239659032314,884,883,1,False,14,4.878056567215068,7,0.674841658603641,True
fourier_K5,2,1,1,0,4,10,15,6017.632058207503,6017.0784249895105,884,883,1,False,14,6.213513801316231,10,0.797017012534578,True
fourier_K6,0,3,1,1,5,12,18,6017.68144818868,6016.889781522013,884,883,1,False,14,6.12815788250344,9,0.7270263447526267,True
fourier_K3,1,2,1,2,6,6,13,6017.684408123061,6017.265535856088,884,883,1,False,14,5.561650666759007,8,0.6962004639399032,True
fourier_K4,2,2,1,0,5,8,14,6017.693810562993,6017.209939595252,884,883,1,False,14,5.0070160998509685,9,0.8336962205116801,True
fourier_K5,0,3,1,0,4,10,15,6017.7844312026455,6017.230797984653,884,883,1,False,14,5.833555645493038,10,0.8290478764979856,True
fourier_K4,1,2,0,0,3,8,12,6018.325897205496,6017.967276515841,884,883,1,False,14,8.460724504544753,11,0.6715344864857072,True
fourier_K6,2,2,1,1,6,12,19,6018.47845911743,6017.597810218242,884,883,1,False,14,5.832979521559191,8,0.6659343247706245,True
fourier_K6,2,2,0,2,6,12,19,6018.495335826062,6017.614686926873,884,883,1,False,14,5.916430658086479,8,0.6565924876537893,True
fourier_K4,1,1,1,2,5,8,14,6018.5053294735035,6018.021458505762,884,883,1,False,14,5.683267968425933,9,0.771151739323225,True
fourier_K4,1,2,1,1,5,8,14,6018.511646831624,6018.027775863882,884,883,1,False,14,5.71371621518671,9,0.7681935262139834,True
fourier_K4,1,2,0,2,5,8,14,6018.514832724494,6018.030961756753,884,883,1,False,14,5.719660430469498,9,0.7676148202719092,True
fourier_K5,2,2,0,1,5,10,16,6018.729280311163,6018.101104791533,884,883,1,False,14,5.4874611208846575,9,0.7899153220587032,True
fourier_K5,1,3,1,0,5,10,16,6018.80962388584,6018.181448366209,884,883,1,False,14,4.714235972426397,9,0.858473803056879,True
